fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,fecha_create,fecha_update
12 mar 2025,291200,293910,291000,293910,293910,213,2025-05-5,2025-05-5
11 mar 2025,288440,291670,288040,291290,291290,197,2025-05-5,2025-05-5
10 mar 2025,291010,291510,288020,289100,289100,55,2025-05-5,2025-05-5
7 mar 2025,290090,292730,290050,290470,290470,531,2025-05-5,2025-05-5
6 mar 2025,290400,291860,290380,291660,291660,870,2025-05-5,2025-05-5
5 mar 2025,291670,292200,289300,291530,291530,551,2025-05-5,2025-05-5
4 mar 2025,288610,292790,288610,290960,290960,885,2025-05-5,2025-05-5
3 mar 2025,287270,289180,286340,289020,289020,423,2025-05-5,2025-05-5
28 feb 2025,287710,287710,283410,283680,283680,990,2025-05-5,2025-05-5
27 feb 2025,291850,292280,287040,288320,288320,3215,2025-05-5,2025-05-5
26 feb 2025,291350,291700,291300,291680,291680,2050,2025-05-5,2025-05-5
25 feb 2025,293870,294320,289000,290450,290450,1854,2025-05-5,2025-05-5
24 feb 2025,293310,295790,293310,294790,294790,415,2025-05-5,2025-05-5
21 feb 2025,293880,294000,291730,293760,293760,570,2025-05-5,2025-05-5
20 feb 2025,294910,295580,292420,294000,294000,656,2025-05-5,2025-05-5
19 feb 2025,293870,294600,291710,291940,291940,2630,2025-05-5,2025-05-5
18 feb 2025,287920,293640,287380,293160,293160,4010,2025-05-5,2025-05-5
14 feb 2025,293730,294440,287480,288360,288360,1992,2025-05-5,2025-05-5
13 feb 2025,291130,293770,291060,292590,292590,4670,2025-05-5,2025-05-5
12 feb 2025,290200,291230,286860,290900,290900,2504,2025-05-5,2025-05-5
11 feb 2025,292550,294540,289000,291250,291250,2554,2025-05-5,2025-05-5
10 feb 2025,286420,291610,286380,291430,291430,2237,2025-05-5,2025-05-5
7 feb 2025,285990,288950,285780,286730,286730,1822,2025-05-5,2025-05-5
6 feb 2025,286520,287170,283630,285600,285600,3116,2025-05-5,2025-05-5
5 feb 2025,285000,288050,284800,287160,287160,4519,2025-05-5,2025-05-5
4 feb 2025,282760,285330,281610,285330,285330,2187,2025-05-5,2025-05-5
3 feb 2025,281820,284840,278090,283390,283390,2649,2025-05-5,2025-05-5
31 ene 2025,282900,283800,280400,281250,281250,3443,2025-05-5,2025-05-5
30 ene 2025,277250,282950,277000,282300,282300,40141,2025-05-5,2025-05-5
29 ene 2025,276910,276910,276910,276910,276910,125692,2025-05-5,2025-05-5
28 ene 2025,273800,276680,273800,276680,276680,2307,2025-05-5,2025-05-5
27 ene 2025,276110,276220,273750,273750,273750,984,2025-05-5,2025-05-5
24 ene 2025,275980,279200,275980,277730,277730,1593,2025-05-5,2025-05-5
23 ene 2025,276000,276500,274540,276310,276310,2201,2025-05-5,2025-05-5
22 ene 2025,275450,276880,275350,276760,276760,2079,2025-05-5,2025-05-5
21 ene 2025,274600,275500,272480,275500,275500,1439,2025-05-5,2025-05-5
17 ene 2025,273600,275160,272550,274430,274430,1214,2025-05-5,2025-05-5
16 ene 2025,273170,274980,273170,274640,274640,1721,2025-05-5,2025-05-5
15 ene 2025,269080,271250,269080,271250,271250,930,2025-05-5,2025-05-5
14 ene 2025,267360,268830,267080,267750,267750,794,2025-05-5,2025-05-5
13 ene 2025,271110,271120,267350,267350,267350,765,2025-05-5,2025-05-5
10 ene 2025,268610,272010,268370,270850,270850,403,2025-05-5,2025-05-5
9 ene 2025,266970,268630,266790,268380,268380,1139,2025-05-5,2025-05-5
8 ene 2025,265550,267690,265350,266450,266450,999,2025-05-5,2025-05-5
7 ene 2025,265340,265750,265300,265670,265670,643,2025-05-5,2025-05-5
6 ene 2025,264550,264700,261730,263840,263840,960,2025-05-5,2025-05-5
3 ene 2025,265870,265870,264180,264500,264500,591,2025-05-5,2025-05-5
2 ene 2025,263300,266310,263300,265890,265890,1728,2025-05-5,2025-05-5
31 dic 2024,260840,262920,260490,262920,262920,401,2025-05-5,2025-05-5
30 dic 2024,262070,262690,259700,260610,260610,794,2025-05-5,2025-05-5
27 dic 2024,261770,261770,261640,261720,261720,642,2025-05-5,2025-05-5
26 dic 2024,262850,263880,262790,263880,263880,84,2025-05-5,2025-05-5
24 dic 2024,261300,262000,260950,262000,262000,35,2025-05-5,2025-05-5
23 dic 2024,262000,262770,261110,261230,261230,451,2025-05-5,2025-05-5
20 dic 2024,260530,263160,260490,262870,262870,592,2025-05-5,2025-05-5
19 dic 2024,258210,261030,258210,259220,259220,238,2025-05-5,2025-05-5
18 dic 2024,264430,264710,259020,263650,263650,566,2025-05-5,2025-05-5
17 dic 2024,265180,265230,263250,264440,264440,705,2025-05-5,2025-05-5
16 dic 2024,265830,266330,265100,265140,265140,877,2025-05-5,2025-05-5
13 dic 2024,268820,268930,264790,265600,265600,1125,2025-05-5,2025-05-5
12 dic 2024,272510,272510,267740,268750,268750,2365,2025-05-5,2025-05-5
11 dic 2024,270180,273380,269310,273380,273380,3387,2025-05-5,2025-05-5
10 dic 2024,266230,269820,266100,269760,269760,437,2025-05-5,2025-05-5
9 dic 2024,263210,267710,263080,266490,266490,935,2025-05-5,2025-05-5
6 dic 2024,262020,264310,261750,263860,263860,571,2025-05-5,2025-05-5
5 dic 2024,265240,265500,262570,262660,262660,573,2025-05-5,2025-05-5
4 dic 2024,263920,265830,263700,265380,265380,249,2025-05-5,2025-05-5
3 dic 2024,263900,265470,263600,264470,264470,1062,2025-05-5,2025-05-5
2 dic 2024,264900,264980,262170,263490,263490,695,2025-05-5,2025-05-5
29 nov 2024,263640,266430,262070,265700,265700,3861,2025-05-5,2025-05-5
27 nov 2024,263350,265790,262720,263990,263990,61653,2025-05-5,2025-05-5
26 nov 2024,262560,262560,262030,262030,262030,177858,2025-05-5,2025-05-5
25 nov 2024,268940,268940,261680,261680,261680,94,2025-05-5,2025-05-5
22 nov 2024,268750,271050,268560,270990,270990,41,2025-05-5,2025-05-5
21 nov 2024,265930,267210,265570,267210,267210,33,2025-05-5,2025-05-5
20 nov 2024,263850,264820,263850,264820,264820,27,2025-05-5,2025-05-5
19 nov 2024,262190,262770,261930,262710,262710,87,2025-05-5,2025-05-5
18 nov 2024,259170,261070,258940,261060,261060,136,2025-05-5,2025-05-5
15 nov 2024,256570,256570,256570,256570,256570,20,2025-05-5,2025-05-5
14 nov 2024,255510,257620,255420,256820,256820,27,2025-05-5,2025-05-5
13 nov 2024,261110,261180,258080,258080,258080,53,2025-05-5,2025-05-5
